Time,BS_ID,BS_STATUS,BS_LOC_X,BS_LOC_Y,ANT_ID,ANT_SEC,TRX_ID,TRX_X,TRX_Y,TRX_ANG,UE_ID,UE_MID,UE_LOC_X,UE_LOC_Y,MAX_DR (bits),DEMAND_DR (bits),REAL_DR (bits),BS_Trans_PWR (W),UE_Rec_PWR (W),RSRP (dBm),RSSI (dBm),RSRQ (dB),DDR (%), SNR, AVTH, RET, DIST, DIST95
9,0,3,0,0,0,0,49,0.25,0.1935,30.9,50,1,2.25734,-1.75512,160,2,0,9.71035e-12,8.09196e-12,-80.9195,-50.1277,-10.7918,0,7.85205,0.93,1,2.85938,0
9,0,3,0,0,0,0,48,0.25,-0.1935,54.36,51,0,0.72715,0.954595,160,72,72,2.07417e-11,1.72848e-11,-77.6234,-46.8316,-10.7918,0,11.1481,0.58,1,1.2,0
9,0,3,0,0,0,0,47,0.25,0.18576,51.04,52,0,0.863733,-0.833046,160,25,25,2.07417e-11,1.72848e-11,-77.6234,-46.8316,-10.7918,0,11.1481,0.29,1,1.2,0
9,0,3,0,0,0,0,46,0.25,-0.18576,41.3,53,0,8.6706,0.967587,118,48,48,6.56027e-13,5.4669e-13,-92.6226,-61.8308,-10.7918,0,-3.85108,0.51,1,8.72442,1
9,0,3,0,0,0,0,45,0.25,0.17802,39.27,54,1,4.21689,0.888177,155,146,142,4.26186e-12,3.55155e-12,-84.4958,-53.704,-10.7918,2.73973,4.27569,0.1,1,4.30941,0
9,0,3,0,0,0,0,44,0.25,-0.17802,34.3,55,2,0.985305,-0.684963,160,23,23,2.07417e-11,1.72848e-11,-77.6234,-46.8316,-10.7918,0,11.1481,0.83,1,1.2,0
9,0,3,0,0,0,0,43,0.25,0.17028,51.33,56,2,6.29253,-0.157457,138,128,128,1.56516e-12,1.3043e-12,-88.8462,-58.0544,-10.7918,0,-0.074709,0.76,1,6.2945,1
9,0,3,0,0,0,0,42,0.25,-0.17028,47.2,57,0,2.51202,2.55617,159,132,132,6.44066e-12,5.36721e-12,-82.7025,-51.9107,-10.7918,0,6.069,0.17,1,3.58389,0
9,0,3,0,0,0,0,41,0.25,0.16254,45.79,58,1,1.53632,-2.06954,160,118,118,1.13165e-11,9.43041e-12,-80.2547,-49.4629,-10.7918,0,8.51682,0.64,1,2.57745,0
9,0,3,0,0,0,0,40,0.25,-0.16254,40.46,59,2,5.54335,3.09159,138,54,54,1.52953e-12,1.27461e-12,-88.9462,-58.1544,-10.7918,0,-0.174715,0.15,1,6.34718,1
9,0,3,0,0,0,0,39,0.25,0.1548,52.79,60,2,0.790575,0.902769,160,122,122,2.07417e-11,1.72848e-11,-77.6234,-46.8316,-10.7918,0,11.1481,0.55,1,1.2,0
9,0,3,0,0,0,0,38,0.25,-0.1548,53.64,61,1,3.6137,-1.12018,159,86,80,5.74447e-12,4.78706e-12,-83.1993,-52.4075,-10.7918,6.97674,5.5722,0.24,1,3.78334,0
9,0,3,0,0,0,0,37,0.25,0.14706,44.27,62,2,3.13183,2.18899,158,55,55,5.62194e-12,4.68495e-12,-83.293,-52.5011,-10.7918,0,5.47856,0.13,1,3.82099,0
9,0,3,0,0,0,0,36,0.25,-0.14706,54.19,63,0,1.19713,-0.0828857,160,5,5,2.07417e-11,1.72848e-11,-77.6234,-46.8316,-10.7918,0,11.1481,0.75,1,1.2,0
9,0,3,0,0,0,0,35,0.25,0.13932,59.69,64,2,0.631401,1.02046,160,117,117,2.07417e-11,1.72848e-11,-77.6234,-46.8316,-10.7918,0,11.1481,0.42,1,1.2,0
9,0,3,0,0,0,0,34,0.25,-0.13932,41.26,65,2,1.26879,0.800674,160,51,51,1.86846e-11,1.55705e-11,-78.077,-47.2852,-10.7918,0,10.6945,0.09,1,1.5003,0
9,0,3,0,0,0,0,33,0.25,0.13158,40.54,66,2,5.85407,-1.47441,140,82,82,1.75666e-12,1.46388e-12,-88.3449,-57.5531,-10.7918,0,0.426569,0.55,1,6.03688,1
9,0,3,0,0,0,0,32,0.25,-0.13158,35.67,67,1,5.24714,2.23735,143,114,114,2.05309e-12,1.71091e-12,-87.6677,-56.8759,-10.7918,0,1.10378,0.61,1,5.70423,1
9,0,3,0,0,0,0,31,0.25,0.12384,45.96,68,1,6.28529,2.9779,132,56,56,1.18928e-12,9.91064e-13,-90.039,-59.2472,-10.7918,0,-1.26747,0.7,1,6.95505,1
9,0,3,0,0,0,0,30,0.25,-0.12384,40.4,69,1,5.33882,-1.52239,144,120,114,2.21097e-12,1.84247e-12,-87.346,-56.5542,-10.7918,5,1.42552,0.6,1,5.55164,1
9,0,3,0,0,0,0,29,0.25,0.1161,39.49,70,2,5.54763,-6.95169,117,34,34,6.25658e-13,5.21382e-13,-92.8284,-62.0366,-10.7918,0,-4.05693,0.02,1,8.89394,1
9,0,3,0,0,0,0,28,0.25,-0.1161,53.44,71,2,2.83212,0.643756,160,3,3,9.47137e-12,7.89281e-12,-81.0277,-50.2359,-10.7918,0,7.74383,0.37,1,2.90437,0
9,0,3,0,0,0,0,27,0.25,0.10836,40.29,72,2,7.53211,0.459156,127,71,71,9.53978e-13,7.94981e-13,-90.9964,-60.2046,-10.7918,0,-2.22492,0.87,1,7.54609,1
9,0,3,0,0,0,0,26,0.25,-0.10836,49.04,73,2,3.29743,5.64933,136,133,133,1.40751e-12,1.17292e-12,-89.3073,-58.5155,-10.7918,0,-0.535792,0.92,1,6.54126,1
9,0,3,0,0,0,0,25,0.25,0.10062,38.12,74,1,2.12415,1.98583,160,1,1,9.45312e-12,7.8776e-12,-81.0361,-50.2443,-10.7918,0,7.73545,0.02,1,2.90784,0
9,0,3,0,0,0,0,24,0.25,-0.10062,52.4,75,0,4.80149,-0.049494,152,31,31,3.25235e-12,2.71029e-12,-85.6698,-54.878,-10.7918,0,3.10168,0.42,1,4.80174,0
9,0,3,0,0,0,0,23,0.25,0.09288,34.22,76,1,4.273,-7.35404,120,61,52,6.99069e-13,5.82558e-13,-92.3466,-61.5548,-10.7918,14.7541,-3.5751,0.48,1,8.50531,1
9,0,3,0,0,0,0,22,0.25,-0.09288,39.18,77,1,3.5864,-1.55128,158,3,3,5.35056e-12,4.4588e-12,-83.5078,-52.716,-10.7918,0,5.26369,0.62,1,3.90752,0
9,0,3,0,0,0,0,21,0.25,0.08514,37.84,78,0,4.17135,-2.36362,152,78,78,3.26511e-12,2.72092e-12,-85.6528,-54.861,-10.7918,0,3.11867,0.33,1,4.79446,0
9,0,3,0,0,0,0,20,0.25,-0.08514,31.02,79,2,4.75859,3.7962,140,45,45,1.71678e-12,1.43065e-12,-88.4447,-57.6529,-10.7918,0,0.326845,0.68,1,6.08731,1
9,0,3,0,0,0,0,19,0.25,0.0774,58.32,80,0,5.46578,2.71123,139,53,53,1.70595e-12,1.42163e-12,-88.4721,-57.6803,-10.7918,0,0.299371,0.85,1,6.10127,1
9,0,3,0,0,0,0,18,0.25,-0.0774,41.24,81,0,4.41196,0.158637,155,149,149,4.01854e-12,3.34878e-12,-84.7511,-53.9593,-10.7918,0,4.02038,0.77,1,4.41481,0
9,0,3,0,0,0,0,17,0.25,0.06966,43.17,82,2,1.66159,-1.90055,160,53,53,1.16385e-11,9.69879e-12,-80.1328,-49.341,-10.7918,0,8.63869,0.92,1,2.52447,0
9,0,3,0,0,0,0,16,0.25,-0.06966,38.76,83,2,5.27504,-7.55607,114,6,6,5.74227e-13,4.78523e-13,-93.201,-62.4092,-10.7918,0,-4.42946,0.9,1,9.21522,1
9,0,3,0,0,0,0,15,0.25,0.06192,35.89,84,2,1.05056,-0.579928,160,0,0,2.07417e-11,1.72848e-11,-77.6234,-46.8316,-10.7918,0,11.1481,0.02,1,1.2,0
9,0,3,0,0,0,0,14,0.25,-0.06192,56.43,85,2,3.24905,5.52188,137,8,8,1.49052e-12,1.2421e-12,-89.0584,-58.2666,-10.7918,0,-0.286917,0.25,1,6.40683,1
9,0,3,0,0,0,0,13,0.25,0.05418,44.79,86,0,4.32803,1.67888,153,22,22,3.54555e-12,2.95462e-12,-85.295,-54.5032,-10.7918,0,3.47653,0.32,1,4.64225,0
9,0,3,0,0,0,0,12,0.25,-0.05418,43.87,87,2,5.51305,-6.26812,121,74,74,7.32985e-13,6.10821e-13,-92.1409,-61.349,-10.7918,0,-3.36935,0.59,1,8.34763,1
9,0,3,0,0,0,0,11,0.25,0.04644,52.07,88,0,1.70782,1.18202,160,126,126,1.45787e-11,1.2149e-11,-79.1546,-48.3628,-10.7918,0,9.6169,0.17,1,2.07698,0
9,0,3,0,0,0,0,10,0.25,-0.04644,43.56,89,1,7.93665,2.51261,121,24,24,7.381e-13,6.15083e-13,-92.1107,-61.3189,-10.7918,0,-3.33915,0.63,1,8.32487,1
9,0,3,0,0,0,0,9,0.25,0.0387,30.56,90,0,1.48424,1.71246,160,45,45,1.32922e-11,1.10768e-11,-79.5559,-48.764,-10.7918,0,9.21566,0.9,1,2.26616,0
9,0,3,0,0,0,0,8,0.25,-0.0387,49.28,91,1,2.09027,-2.17177,160,21,21,8.90793e-12,7.42327e-12,-81.294,-50.5022,-10.7918,0,7.47747,0.66,1,3.01427,0
